"Catchment","Res","X","Y"
Akit_1,0,175.611667,-40.355
Mana_1,0,175.611667,-40.355
Mana_10,0,175.611667,-40.355
Mana_11,0,175.611667,-40.355
Mana_12,0,175.611667,-40.355
Mana_13,0,175.611667,-40.355
Mana_2,0,175.611667,-40.355
Mana_3,1,175.611667,-40.355
Mana_4,0,175.611667,-40.355
Mana_5,0,175.611667,-40.355
Mana_6,0,175.611667,-40.355
Mana_7,0,175.611667,-40.355
Mana_8,0,175.611667,-40.355
Mana_9,0,175.611667,-40.355
Ohau_1,0,175.611667,-40.355
Owha_1,0,175.611667,-40.355
Rang_1,0,175.611667,-40.355
Rang_2,1,175.611667,-40.355
Rang_3,0,175.611667,-40.355
Rang_4,0,175.611667,-40.355
Tura_1,0,175.611667,-40.355
West_2,0,175.611667,-40.355
Whai_1,1,175.611667,-40.355
Whai_2,1,175.611667,-40.355
Whai_3,1,175.611667,-40.355
Whai_4,1,175.611667,-40.355
Whau_2,0,175.611667,-40.355
Whau_3,0,175.611667,-40.355
Whau_4,0,175.611667,-40.355
